id,game_no,game_name,game_code,type,cost_price,tax,sale_price,date_of_sale
51,6,GAME 6ZZZZZZZZZZZZZZ,G6ZZZ,2,29.37,2.64,35.24,2024-04-24 16:05:45
52,57,GAME 57ZZZZZZZZZZZZZ,G57ZZ,1,83.24,7.49,99.89,2024-04-09 04:16:20
53,56,GAME 56ZZZZZZZZZZZZZ,G56ZZ,1,8.86,0.80,10.63,2024-04-25 19:27:07
54,76,GAME 76ZZZZZZZZZZZZZ,G76ZZ,1,67.73,6.10,81.28,2024-04-14 12:57:19
55,16,GAME 16ZZZZZZZZZZZZZ,G16ZZ,1,84.38,7.59,101.26,2024-04-25 22:47:25
56,7,GAME 7ZZZZZZZZZZZZZZ,G7ZZZ,2,53.04,4.77,63.65,2024-04-09 09:28:02
57,7,GAME 7ZZZZZZZZZZZZZZ,G7ZZZ,1,94.35,8.49,113.22,2024-04-18 11:37:53
58,75,GAME 75ZZZZZZZZZZZZZ,G75ZZ,1,90.59,8.15,108.71,2024-04-29 03:21:21
59,40,GAME 40ZZZZZZZZZZZZZ,G40ZZ,2,97.31,8.76,116.77,2024-04-08 05:40:15
60,94,GAME 94ZZZZZZZZZZZZZ,G94ZZ,1,30.71,2.76,36.85,2024-04-29 07:26:02
61,19,GAME 19ZZZZZZZZZZZZZ,G19ZZ,2,27.98,2.52,33.58,2024-04-21 17:21:52
62,68,GAME 68ZZZZZZZZZZZZZ,G68ZZ,1,21.24,1.91,25.49,2024-04-26 08:35:51
63,25,GAME 25ZZZZZZZZZZZZZ,G25ZZ,1,3.32,0.30,3.98,2024-04-14 19:26:34
64,55,GAME 55ZZZZZZZZZZZZZ,G55ZZ,1,73.50,6.62,88.20,2024-04-17 16:48:23
65,54,GAME 54ZZZZZZZZZZZZZ,G54ZZ,2,13.81,1.24,16.57,2024-04-18 21:44:11
66,96,GAME 96ZZZZZZZZZZZZZ,G96ZZ,1,68.72,6.18,82.46,2024-04-22 18:33:54
67,27,GAME 27ZZZZZZZZZZZZZ,G27ZZ,1,52.60,4.73,63.12,2024-04-23 01:36:46
68,7,GAME 7ZZZZZZZZZZZZZZ,G7ZZZ,1,82.05,7.38,98.46,2024-04-15 20:31:31
69,3,GAME 3ZZZZZZZZZZZZZZ,G3ZZZ,1,26.92,2.42,32.30,2024-04-11 18:52:36
70,2,GAME 2ZZZZZZZZZZZZZZ,G2ZZZ,2,21.06,1.90,25.27,2024-04-07 15:31:06
71,99,GAME 99ZZZZZZZZZZZZZ,G99ZZ,1,16.46,1.48,19.75,2024-04-20 18:51:22
72,6,GAME 6ZZZZZZZZZZZZZZ,G6ZZZ,1,34.99,3.15,41.99,2024-04-19 11:54:29
73,59,GAME 59ZZZZZZZZZZZZZ,G59ZZ,2,18.70,1.68,22.44,2024-04-12 20:56:50
74,78,GAME 78ZZZZZZZZZZZZZ,G78ZZ,2,62.53,5.63,75.04,2024-04-01 20:53:55
75,8,GAME 8ZZZZZZZZZZZZZZ,G8ZZZ,2,77.32,6.96,92.78,2024-04-30 17:16:42
76,65,GAME 65ZZZZZZZZZZZZZ,G65ZZ,1,68.69,6.18,82.43,2024-04-12 03:21:51
77,18,GAME 18ZZZZZZZZZZZZZ,G18ZZ,2,75.28,6.78,90.34,2024-04-19 11:15:25
78,35,GAME 35ZZZZZZZZZZZZZ,G35ZZ,1,35.25,3.17,42.30,2024-04-12 18:39:11
79,1,GAME 1ZZZZZZZZZZZZZZ,G1ZZZ,1,87.08,7.84,104.50,2024-04-01 07:13:57
80,23,GAME 23ZZZZZZZZZZZZZ,G23ZZ,2,31.08,2.80,37.30,2024-04-16 02:09:07
81,10,GAME 10ZZZZZZZZZZZZZ,G10ZZ,1,95.14,8.56,114.17,2024-04-01 17:44:03
82,24,GAME 24ZZZZZZZZZZZZZ,G24ZZ,2,3.57,0.32,4.28,2024-04-09 00:28:36
83,13,GAME 13ZZZZZZZZZZZZZ,G13ZZ,1,52.56,4.73,63.07,2024-04-19 11:51:17
84,79,GAME 79ZZZZZZZZZZZZZ,G79ZZ,1,15.62,1.41,18.74,2024-04-19 07:58:09
85,7,GAME 7ZZZZZZZZZZZZZZ,G7ZZZ,1,12.06,1.09,14.47,2024-04-02 10:14:43
86,57,GAME 57ZZZZZZZZZZZZZ,G57ZZ,1,55.40,4.99,66.48,2024-04-02 15:30:59
87,52,GAME 52ZZZZZZZZZZZZZ,G52ZZ,2,78.72,7.08,94.46,2024-04-01 16:31:23
88,10,GAME 10ZZZZZZZZZZZZZ,G10ZZ,2,80.40,7.24,96.48,2024-04-07 19:02:47
89,62,GAME 62ZZZZZZZZZZZZZ,G62ZZ,2,97.49,8.77,116.99,2024-04-07 18:01:24
90,70,GAME 70ZZZZZZZZZZZZZ,G70ZZ,2,21.76,1.96,26.11,2024-04-02 09:43:33
91,34,GAME 34ZZZZZZZZZZZZZ,G34ZZ,1,68.65,6.18,82.38,2024-04-09 21:55:33
92,23,GAME 23ZZZZZZZZZZZZZ,G23ZZ,1,78.09,7.03,93.71,2024-04-12 14:48:58
93,8,GAME 8ZZZZZZZZZZZZZZ,G8ZZZ,2,30.43,2.74,36.52,2024-04-17 09:43:46
94,60,GAME 60ZZZZZZZZZZZZZ,G60ZZ,2,15.20,1.37,18.24,2024-04-13 08:11:27
95,8,GAME 8ZZZZZZZZZZZZZZ,G8ZZZ,2,44.56,4.01,53.47,2024-04-03 14:28:36
96,26,GAME 26ZZZZZZZZZZZZZ,G26ZZ,1,65.35,5.88,78.42,2024-04-01 10:07:05
97,62,GAME 62ZZZZZZZZZZZZZ,G62ZZ,2,24.70,2.22,29.64,2024-04-16 14:26:18
98,94,GAME 94ZZZZZZZZZZZZZ,G94ZZ,2,78.91,7.10,94.69,2024-04-22 19:23:54
99,67,GAME 67ZZZZZZZZZZZZZ,G67ZZ,2,16.37,1.47,19.64,2024-04-21 16:17:54
100,63,GAME 63ZZZZZZZZZZZZZ,G63ZZ,1,24.48,2.20,29.38,2024-04-20 20:16:51
101,62,GAME 62ZZZZZZZZZZZZZ,G62ZZ,2,50.97,4.59,61.16,2024-04-04 15:06:09
102,100,GAME 100ZZZZZZZZZZZZ,G100Z,1,1.21,0.11,1.45,2024-04-22 03:33:03
103,58,GAME 58ZZZZZZZZZZZZZ,G58ZZ,1,83.53,7.52,100.24,2024-04-05 19:02:17
104,62,GAME 62ZZZZZZZZZZZZZ,G62ZZ,2,16.94,1.52,20.33,2024-04-15 02:19:59
105,75,GAME 75ZZZZZZZZZZZZZ,G75ZZ,2,86.59,7.79,103.91,2024-04-02 12:49:09
106,9,GAME 9ZZZZZZZZZZZZZZ,G9ZZZ,2,84.93,7.64,101.92,2024-04-26 11:40:25
107,70,GAME 70ZZZZZZZZZZZZZ,G70ZZ,1,11.62,1.05,13.94,2024-04-13 05:16:19
108,69,GAME 69ZZZZZZZZZZZZZ,G69ZZ,1,96.37,8.67,115.64,2024-04-11 16:57:39
109,32,GAME 32ZZZZZZZZZZZZZ,G32ZZ,2,67.63,6.09,81.16,2024-04-07 04:29:08
110,65,GAME 65ZZZZZZZZZZZZZ,G65ZZ,2,68.16,6.13,81.79,2024-04-12 08:24:36
111,15,GAME 15ZZZZZZZZZZZZZ,G15ZZ,1,78.16,7.03,93.79,2024-04-07 02:17:18
112,54,GAME 54ZZZZZZZZZZZZZ,G54ZZ,1,39.00,3.51,46.80,2024-04-21 04:44:26
113,24,GAME 24ZZZZZZZZZZZZZ,G24ZZ,1,6.63,0.60,7.96,2024-04-30 06:11:53
114,73,GAME 73ZZZZZZZZZZZZZ,G73ZZ,2,71.26,6.41,85.51,2024-04-24 03:01:20
115,29,GAME 29ZZZZZZZZZZZZZ,G29ZZ,1,31.63,2.85,37.96,2024-04-22 11:32:39
116,32,GAME 32ZZZZZZZZZZZZZ,G32ZZ,1,1.54,0.14,1.85,2024-04-22 00:33:32
117,49,GAME 49ZZZZZZZZZZZZZ,G49ZZ,2,75.17,6.77,90.20,2024-04-28 10:00:33
118,85,GAME 85ZZZZZZZZZZZZZ,G85ZZ,1,95.53,8.60,114.64,2024-04-25 18:16:42
119,83,GAME 83ZZZZZZZZZZZZZ,G83ZZ,2,54.65,4.92,65.58,2024-04-19 01:06:40
120,86,GAME 86ZZZZZZZZZZZZZ,G86ZZ,2,90.22,8.12,108.26,2024-04-15 18:01:05
121,87,GAME 87ZZZZZZZZZZZZZ,G87ZZ,2,32.60,2.93,39.12,2024-04-15 10:25:54
122,27,GAME 27ZZZZZZZZZZZZZ,G27ZZ,2,21.36,1.92,25.63,2024-04-03 13:31:40
123,9,GAME 9ZZZZZZZZZZZZZZ,G9ZZZ,2,65.12,5.86,78.14,2024-04-25 01:56:15
124,89,GAME 89ZZZZZZZZZZZZZ,G89ZZ,2,20.90,1.88,25.08,2024-04-20 05:01:12
125,73,GAME 73ZZZZZZZZZZZZZ,G73ZZ,2,12.21,1.10,14.65,2024-04-27 19:20:12
126,24,GAME 24ZZZZZZZZZZZZZ,G24ZZ,1,47.92,4.31,57.50,2024-04-29 10:25:04
127,84,GAME 84ZZZZZZZZZZZZZ,G84ZZ,1,30.18,2.72,36.22,2024-04-02 23:46:35
128,93,GAME 93ZZZZZZZZZZZZZ,G93ZZ,2,67.38,6.06,80.86,2024-04-20 02:37:03
129,70,GAME 70ZZZZZZZZZZZZZ,G70ZZ,1,51.73,4.66,62.08,2024-04-22 23:39:47
130,82,GAME 82ZZZZZZZZZZZZZ,G82ZZ,2,82.56,7.43,99.07,2024-04-21 11:20:52
131,4,GAME 4ZZZZZZZZZZZZZZ,G4ZZZ,2,4.36,0.39,5.23,2024-04-23 11:08:03
132,23,GAME 23ZZZZZZZZZZZZZ,G23ZZ,1,35.05,3.15,42.06,2024-04-15 11:36:05
133,40,GAME 40ZZZZZZZZZZZZZ,G40ZZ,2,78.81,7.09,94.57,2024-04-23 09:37:02
134,21,GAME 21ZZZZZZZZZZZZZ,G21ZZ,2,25.98,2.34,31.18,2024-04-30 11:52:55
135,35,GAME 35ZZZZZZZZZZZZZ,G35ZZ,2,37.88,3.41,45.46,2024-04-24 01:37:25
136,35,GAME 35ZZZZZZZZZZZZZ,G35ZZ,1,58.00,5.22,69.60,2024-04-08 05:11:23
137,75,GAME 75ZZZZZZZZZZZZZ,G75ZZ,1,31.72,2.85,38.06,2024-04-09 23:48:47
138,42,GAME 42ZZZZZZZZZZZZZ,G42ZZ,2,9.22,0.83,11.06,2024-04-16 17:00:23
139,31,GAME 31ZZZZZZZZZZZZZ,G31ZZ,1,31.79,2.86,38.15,2024-04-18 04:36:22
140,77,GAME 77ZZZZZZZZZZZZZ,G77ZZ,2,1.43,0.13,1.72,2024-04-05 21:34:32
141,21,GAME 21ZZZZZZZZZZZZZ,G21ZZ,1,12.57,1.13,15.08,2024-04-06 06:03:35
142,17,GAME 17ZZZZZZZZZZZZZ,G17ZZ,1,20.26,1.82,24.31,2024-04-10 13:13:51
143,54,GAME 54ZZZZZZZZZZZZZ,G54ZZ,2,44.49,4.00,53.39,2024-04-21 23:02:14
144,18,GAME 18ZZZZZZZZZZZZZ,G18ZZ,1,55.96,5.04,67.15,2024-04-30 06:58:45
145,17,GAME 17ZZZZZZZZZZZZZ,G17ZZ,2,34.19,3.08,41.03,2024-04-27 10:16:52
146,93,GAME 93ZZZZZZZZZZZZZ,G93ZZ,1,11.47,1.03,13.76,2024-04-15 12:12:01
147,75,GAME 75ZZZZZZZZZZZZZ,G75ZZ,1,78.90,7.10,94.68,2024-04-29 23:55:56
148,43,GAME 43ZZZZZZZZZZZZZ,G43ZZ,2,37.93,3.41,45.52,2024-04-24 18:14:26
149,99,GAME 99ZZZZZZZZZZZZZ,G99ZZ,1,32.24,2.90,38.69,2024-04-09 21:18:29
150,55,GAME 55ZZZZZZZZZZZZZ,G55ZZ,1,4.89,0.44,5.87,2024-04-08 14:36:10
151,58,GAME 58ZZZZZZZZZZZZZ,G58ZZ,2,1.17,0.11,1.40,2024-04-15 18:53:57
152,31,GAME 31ZZZZZZZZZZZZZ,G31ZZ,1,58.29,5.25,69.95,2024-04-01 05:52:42
153,93,GAME 93ZZZZZZZZZZZZZ,G93ZZ,1,71.94,6.47,86.33,2024-04-12 12:02:51
154,15,GAME 15ZZZZZZZZZZZZZ,G15ZZ,2,9.40,0.85,11.28,2024-04-26 05:48:41
155,31,GAME 31ZZZZZZZZZZZZZ,G31ZZ,2,60.18,5.42,72.22,2024-04-18 17:41:01
156,24,GAME 24ZZZZZZZZZZZZZ,G24ZZ,1,93.76,8.44,112.51,2024-04-12 11:56:10
157,90,GAME 90ZZZZZZZZZZZZZ,G90ZZ,2,82.82,7.45,99.38,2024-04-25 07:48:53
158,73,GAME 73ZZZZZZZZZZZZZ,G73ZZ,2,33.37,3.00,40.04,2024-04-28 22:50:17
159,82,GAME 82ZZZZZZZZZZZZZ,G82ZZ,2,92.52,8.33,111.02,2024-04-08 00:42:21
160,21,GAME 21ZZZZZZZZZZZZZ,G21ZZ,1,86.56,7.79,103.87,2024-04-09 15:49:21
161,17,GAME 17ZZZZZZZZZZZZZ,G17ZZ,1,6.63,0.60,7.96,2024-04-20 20:21:32
162,41,GAME 41ZZZZZZZZZZZZZ,G41ZZ,2,17.20,1.55,20.64,2024-04-08 21:48:38
163,90,GAME 90ZZZZZZZZZZZZZ,G90ZZ,2,9.80,0.88,11.76,2024-04-02 21:04:05
164,84,GAME 84ZZZZZZZZZZZZZ,G84ZZ,2,13.44,1.21,16.13,2024-04-28 13:44:38
165,26,GAME 26ZZZZZZZZZZZZZ,G26ZZ,1,41.18,3.71,49.42,2024-04-29 15:23:31
166,25,GAME 25ZZZZZZZZZZZZZ,G25ZZ,2,23.44,2.11,28.13,2024-04-27 22:20:05
167,81,GAME 81ZZZZZZZZZZZZZ,G81ZZ,1,74.13,6.67,88.96,2024-04-29 20:32:15
168,16,GAME 16ZZZZZZZZZZZZZ,G16ZZ,1,1.27,0.11,1.52,2024-04-30 15:13:17
169,30,GAME 30ZZZZZZZZZZZZZ,G30ZZ,1,8.33,0.75,10.00,2024-04-15 08:11:38
170,73,GAME 73ZZZZZZZZZZZZZ,G73ZZ,1,6.82,0.61,8.18,2024-04-12 01:44:18
171,1,GAME 1ZZZZZZZZZZZZZZ,G1ZZZ,1,73.82,6.64,88.58,2024-04-30 15:31:21
172,58,GAME 58ZZZZZZZZZZZZZ,G58ZZ,1,24.85,2.24,29.82,2024-04-05 11:34:08
173,49,GAME 49ZZZZZZZZZZZZZ,G49ZZ,2,66.07,5.95,79.28,2024-04-13 14:07:48
174,72,GAME 72ZZZZZZZZZZZZZ,G72ZZ,2,43.27,3.89,51.92,2024-04-01 02:19:46
175,99,GAME 99ZZZZZZZZZZZZZ,G99ZZ,1,13.85,1.25,16.62,2024-04-27 18:04:13
176,54,GAME 54ZZZZZZZZZZZZZ,G54ZZ,2,2.46,0.22,2.95,2024-04-03 08:06:29
177,58,GAME 58ZZZZZZZZZZZZZ,G58ZZ,2,23.28,2.10,27.94,2024-04-15 18:41:02
178,67,GAME 67ZZZZZZZZZZZZZ,G67ZZ,2,25.90,2.33,31.08,2024-04-07 10:27:23
179,34,GAME 34ZZZZZZZZZZZZZ,G34ZZ,1,35.63,3.21,42.76,2024-04-21 11:26:22
180,22,GAME 22ZZZZZZZZZZZZZ,G22ZZ,2,7.12,0.64,8.54,2024-04-24 10:16:39
181,8,GAME 8ZZZZZZZZZZZZZZ,G8ZZZ,1,1.67,0.15,2.00,2024-04-21 06:52:27
182,4,GAME 4ZZZZZZZZZZZZZZ,G4ZZZ,2,35.94,3.23,43.13,2024-04-19 15:17:05
183,100,GAME 100ZZZZZZZZZZZZ,G100Z,2,77.07,6.94,92.48,2024-04-18 19:48:39
184,40,GAME 40ZZZZZZZZZZZZZ,G40ZZ,2,35.07,3.16,42.08,2024-04-11 13:41:35
185,86,GAME 86ZZZZZZZZZZZZZ,G86ZZ,2,21.63,1.95,25.96,2024-04-11 04:41:23
186,46,GAME 46ZZZZZZZZZZZZZ,G46ZZ,2,69.41,6.25,83.29,2024-04-09 17:50:56
187,29,GAME 29ZZZZZZZZZZZZZ,G29ZZ,1,77.33,6.96,92.80,2024-04-13 21:12:39
188,31,GAME 31ZZZZZZZZZZZZZ,G31ZZ,1,19.19,1.73,23.03,2024-04-29 17:35:38
189,70,GAME 70ZZZZZZZZZZZZZ,G70ZZ,1,68.48,6.16,82.18,2024-04-12 11:26:35
190,94,GAME 94ZZZZZZZZZZZZZ,G94ZZ,1,44.40,4.00,53.28,2024-04-12 13:04:55
191,6,GAME 6ZZZZZZZZZZZZZZ,G6ZZZ,1,21.17,1.91,25.40,2024-04-19 15:45:01
192,50,GAME 50ZZZZZZZZZZZZZ,G50ZZ,1,42.28,3.81,50.74,2024-04-13 04:01:09
193,4,GAME 4ZZZZZZZZZZZZZZ,G4ZZZ,1,21.35,1.92,25.62,2024-04-04 01:42:34
194,15,GAME 15ZZZZZZZZZZZZZ,G15ZZ,2,29.72,2.67,35.66,2024-04-27 05:10:04
195,54,GAME 54ZZZZZZZZZZZZZ,G54ZZ,2,4.81,0.43,5.77,2024-04-13 09:47:05
196,13,GAME 13ZZZZZZZZZZZZZ,G13ZZ,1,95.10,8.56,114.12,2024-04-06 13:25:45
197,71,GAME 71ZZZZZZZZZZZZZ,G71ZZ,1,0.71,0.06,0.85,2024-04-25 08:46:40
198,39,GAME 39ZZZZZZZZZZZZZ,G39ZZ,2,24.11,2.17,28.93,2024-04-28 11:41:24
199,58,GAME 58ZZZZZZZZZZZZZ,G58ZZ,1,89.43,8.05,107.32,2024-04-11 02:37:14
200,97,GAME 97ZZZZZZZZZZZZZ,G97ZZ,2,35.28,3.18,42.34,2024-04-11 13:23:32
201,37,GAME 37ZZZZZZZZZZZZZ,G37ZZ,1,9.98,0.90,11.98,2024-04-23 04:18:58
202,3,GAME 3ZZZZZZZZZZZZZZ,G3ZZZ,2,74.67,6.72,89.60,2024-04-25 04:42:27
203,64,GAME 64ZZZZZZZZZZZZZ,G64ZZ,2,89.34,8.04,107.21,2024-04-21 17:55:02
204,31,GAME 31ZZZZZZZZZZZZZ,G31ZZ,1,36.51,3.29,43.81,2024-04-04 00:20:22
205,21,GAME 21ZZZZZZZZZZZZZ,G21ZZ,2,14.00,1.26,16.80,2024-04-15 13:12:35
206,74,GAME 74ZZZZZZZZZZZZZ,G74ZZ,1,55.19,4.97,66.23,2024-04-08 19:00:53
207,50,GAME 50ZZZZZZZZZZZZZ,G50ZZ,1,19.68,1.77,23.62,2024-04-28 22:56:09
208,71,GAME 71ZZZZZZZZZZZZZ,G71ZZ,1,72.72,6.54,87.26,2024-04-10 07:17:05
209,59,GAME 59ZZZZZZZZZZZZZ,G59ZZ,1,10.65,0.96,12.78,2024-04-09 08:18:09
210,76,GAME 76ZZZZZZZZZZZZZ,G76ZZ,1,28.31,2.55,33.97,2024-04-03 05:29:39
211,87,GAME 87ZZZZZZZZZZZZZ,G87ZZ,2,3.26,0.29,3.91,2024-04-25 17:18:30
212,30,GAME 30ZZZZZZZZZZZZZ,G30ZZ,1,58.75,5.29,70.50,2024-04-23 04:47:47
213,49,GAME 49ZZZZZZZZZZZZZ,G49ZZ,1,12.59,1.13,15.11,2024-04-14 01:02:00
214,87,GAME 87ZZZZZZZZZZZZZ,G87ZZ,2,91.54,8.24,109.85,2024-04-30 12:36:10
215,35,GAME 35ZZZZZZZZZZZZZ,G35ZZ,2,7.71,0.69,9.25,2024-04-27 17:01:12
216,94,GAME 94ZZZZZZZZZZZZZ,G94ZZ,1,68.37,6.15,82.04,2024-04-28 22:23:49
217,67,GAME 67ZZZZZZZZZZZZZ,G67ZZ,2,63.83,5.74,76.60,2024-04-25 20:43:42
218,8,GAME 8ZZZZZZZZZZZZZZ,G8ZZZ,1,53.76,4.84,64.51,2024-04-23 05:40:49
219,90,GAME 90ZZZZZZZZZZZZZ,G90ZZ,1,52.54,4.73,63.05,2024-04-02 04:48:27
220,31,GAME 31ZZZZZZZZZZZZZ,G31ZZ,1,70.83,6.37,85.00,2024-04-07 06:57:36
221,90,GAME 90ZZZZZZZZZZZZZ,G90ZZ,2,69.80,6.28,83.76,2024-04-24 21:34:22
222,13,GAME 13ZZZZZZZZZZZZZ,G13ZZ,2,8.77,0.79,10.52,2024-04-06 01:53:58
223,91,GAME 91ZZZZZZZZZZZZZ,G91ZZ,1,91.02,8.19,109.22,2024-04-12 13:11:25
224,23,GAME 23ZZZZZZZZZZZZZ,G23ZZ,2,70.13,6.31,84.16,2024-04-15 21:33:42
225,71,GAME 71ZZZZZZZZZZZZZ,G71ZZ,1,21.36,1.92,25.63,2024-04-22 20:03:13
226,23,GAME 23ZZZZZZZZZZZZZ,G23ZZ,1,63.03,5.67,75.64,2024-04-04 00:19:57
227,40,GAME 40ZZZZZZZZZZZZZ,G40ZZ,2,34.13,3.07,40.96,2024-04-02 14:52:43
228,95,GAME 95ZZZZZZZZZZZZZ,G95ZZ,2,95.62,8.61,114.74,2024-04-28 04:38:13
229,100,GAME 100ZZZZZZZZZZZZ,G100Z,2,40.92,3.68,49.10,2024-04-20 10:55:45
230,68,GAME 68ZZZZZZZZZZZZZ,G68ZZ,1,38.15,3.43,45.78,2024-04-23 05:44:04
231,11,GAME 11ZZZZZZZZZZZZZ,G11ZZ,2,42.80,3.85,51.36,2024-04-11 17:17:55
232,44,GAME 44ZZZZZZZZZZZZZ,G44ZZ,2,78.96,7.11,94.75,2024-04-11 23:10:51
233,60,GAME 60ZZZZZZZZZZZZZ,G60ZZ,1,74.15,6.67,88.98,2024-04-12 04:32:46
234,64,GAME 64ZZZZZZZZZZZZZ,G64ZZ,1,3.18,0.29,3.82,2024-04-04 17:17:40
235,6,GAME 6ZZZZZZZZZZZZZZ,G6ZZZ,1,70.52,6.35,84.62,2024-04-28 05:30:49
